k,silhouette,seconds
2,0.07377098274308536,165.67635083198547
3,0.0738934860022135,167.48990988731384
4,0.0571821874897055,172.92359280586243
5,0.0585794768692859,176.50977516174316
6,0.06962936104648083,187.40508890151978
7,0.07505962431332151,195.96046042442322
8,0.07178599988455864,204.63496255874634
9,0.06329990931537617,208.50339794158936
10,0.052837773259105845,211.1457188129425
11,0.05644166584483035,217.76072549819946
12,0.06351205907785644,227.84738111495972
13,0.0668983447485238,227.60527920722961
14,0.06780143139763893,236.17345666885376
15,0.06711230749873684,238.07456016540527
