fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
1,train,883.2750854492188,3,0.0031341351483002403,0.039997100830078125,0.028534001339597978,0.15138414849346227,0.897196261682243
2,train,13.46679973602295,3,0.019400174017808847,0.08785416654884726,0.031030799952341818,0.18174288148250603,0.9532710280373832
3,train,1292.5458984375,3,0.06587011383575789,0.10340929509715378,0.03468424642232653,0.14026349810378672,0.9345794392523364
4,test,1160.2327880859375,3,0.03487824335174516,0.11496865477270676,0.03196331340853584,0.11182402712086748,0.9065420560747663
5,train,212.57359313964844,3,0.010153357523056045,0.15009496239060924,0.035604165664892,0.17183748752466851,0.9252336448598131
6,train,869.5242919921875,3,0.026146646728502053,0.3641551524682313,0.02557278992869726,0.1410007476935646,0.9439252336448598
7,train,949.5499267578125,3,0.034932761600155716,0.09013105876437387,0.022929345436407875,0.12322731933913514,0.9439252336448598
8,train,1063.1962890625,3,0.039317830501094976,0.1162700933748611,0.03190798460598122,0.15768834101629506,0.9345794392523364
9,train,1221.16845703125,3,0.025398189797127022,0.03801038791154672,0.019509724985613625,0.11727189455437141,0.9626168224299065
10,test,595.8995971679688,3,0.010318097648956812,0.08579802728807882,0.026239602306859466,0.12777176264009676,0.9439252336448598
11,val,1349.6387939453125,3,0.06344829489838301,0.1806175678745177,0.022983335234807882,0.11844645728998657,0.9719626168224299
12,train,1189.2919921875,3,0.015161456117052032,0.10108288489743003,0.025760315578538584,0.12093344038514178,0.8878504672897196
13,train,1599.472900390625,3,0.03385682916157742,0.10965377434665705,0.027581789052090747,0.17000534981316331,0.9719626168224299
14,train,1460.6270751953125,3,0.017705925959408068,0.025059995628133932,0.02250271270562325,0.09481023978150722,0.9626168224299065
15,test,1426.43310546875,3,0.09728594747619371,0.08381293319041741,0.02658747451501424,0.161754399952579,0.9626168224299065
16,test,761.8897094726562,3,0.028315015651824104,0.21703785418401986,0.024940374538133525,0.10938514951490293,0.9345794392523364
